2024-03-26 06:27:13 | INFO     | BSRNN | Utt=31 | fname=sixteen_p232_035.wav | PESQ=2.401 | PESQi=0.864 | SISNR=14.264 | SISNRi=7.632 | CSIG=3.411 | CSIGi=0.598 |CBAK=3.076 | CBAKi=0.819 | COVL=2.891 | COVLi=0.745 | 
2024-03-26 06:27:15 | INFO     | BSRNN | Utt=32 | fname=sixteen_p232_036.wav | PESQ=1.592 | PESQi=0.442 | SISNR=11.125 | SISNRi=9.547 | CSIG=2.540 | CSIGi=0.424 |CBAK=2.420 | CBAKi=0.742 | COVL=2.031 | COVLi=0.463 | 
2024-03-26 06:27:17 | INFO     | BSRNN | Utt=33 | fname=sixteen_p232_037.wav | PESQ=3.988 | PESQi=0.325 | SISNR=17.360 | SISNRi=0.795 | CSIG=5.000 | CSIGi=0.000 |CBAK=4.083 | CBAKi=0.071 | COVL=4.568 | COVLi=0.158 | 
2024-03-26 06:27:19 | INFO     | BSRNN | Utt=34 | fname=sixteen_p232_038.wav | PESQ=2.557 | PESQi=-0.291 | SISNR=13.830 | SISNRi=2.882 | CSIG=4.003 | CSIGi=-0.278 |CBAK=2.930 | CBAKi=-0.115 | COVL=3.254 | COVLi=-0.315 | 
2024-03-26 06:27:20 | INFO     | BSRNN | Utt=35 | fname=sixteen_p232_039.wav | PESQ=2.020 | PESQi=-0.118 | SISNR=8.829 | SISNRi=4.399 | CSIG=3.390 | CSIGi=-0.018 |CBAK=2.214 | CBAKi=0.019 | COVL=2.637 | COVLi=-0.108 | 
2024-03-26 06:27:22 | INFO     | BSRNN | Utt=36 | fname=sixteen_p232_040.wav | PESQ=2.647 | PESQi=0.158 | SISNR=6.918 | SISNRi=6.440 | CSIG=3.714 | CSIGi=-0.096 |CBAK=2.604 | CBAKi=0.201 | COVL=3.123 | COVLi=0.007 | 
2024-03-26 06:27:23 | INFO     | BSRNN | Utt=37 | fname=sixteen_p232_041.wav | PESQ=2.565 | PESQi=0.301 | SISNR=19.367 | SISNRi=3.545 | CSIG=3.842 | CSIGi=0.255 |CBAK=3.230 | CBAKi=0.412 | COVL=3.181 | COVLi=0.290 | 
2024-03-26 06:27:26 | INFO     | BSRNN | Utt=38 | fname=sixteen_p232_042.wav | PESQ=3.415 | PESQi=0.469 | SISNR=14.910 | SISNRi=3.678 | CSIG=4.568 | CSIGi=0.164 |CBAK=3.551 | CBAKi=0.340 | COVL=3.989 | COVLi=0.310 | 
2024-03-26 06:27:28 | INFO     | BSRNN | Utt=39 | fname=sixteen_p232_043.wav | PESQ=2.364 | PESQi=0.760 | SISNR=14.904 | SISNRi=9.028 | CSIG=3.676 | CSIGi=0.660 |CBAK=2.902 | CBAKi=0.867 | COVL=2.999 | COVLi=0.726 | 
2024-03-26 06:27:29 | INFO     | BSRNN | Utt=40 | fname=sixteen_p232_044.wav | PESQ=2.193 | PESQi=1.072 | SISNR=14.078 | SISNRi=14.347 | CSIG=3.498 | CSIGi=1.597 |CBAK=2.699 | CBAKi=1.215 | COVL=2.821 | COVLi=1.407 | 
2024-03-26 06:27:31 | INFO     | BSRNN | Utt=41 | fname=sixteen_p232_045.wav | PESQ=3.614 | PESQi=-0.143 | SISNR=17.234 | SISNRi=2.859 | CSIG=4.669 | CSIGi=-0.331 |CBAK=3.455 | CBAKi=-0.048 | COVL=4.108 | COVLi=-0.312 | 
2024-03-26 06:27:33 | INFO     | BSRNN | Utt=42 | fname=sixteen_p232_046.wav | PESQ=2.419 | PESQi=0.386 | SISNR=19.328 | SISNRi=9.429 | CSIG=3.470 | CSIGi=0.267 |CBAK=3.026 | CBAKi=0.740 | COVL=2.909 | COVLi=0.342 | 
2024-03-26 06:27:35 | INFO     | BSRNN | Utt=43 | fname=sixteen_p232_047.wav | PESQ=2.604 | PESQi=0.302 | SISNR=17.420 | SISNRi=11.683 | CSIG=3.982 | CSIGi=0.231 |CBAK=3.179 | CBAKi=0.828 | COVL=3.276 | COVLi=0.280 | 
2024-03-26 06:27:36 | INFO     | BSRNN | Utt=44 | fname=sixteen_p232_048.wav | PESQ=2.240 | PESQi=0.379 | SISNR=15.435 | SISNRi=16.090 | CSIG=3.333 | CSIGi=0.310 |CBAK=2.668 | CBAKi=0.877 | COVL=2.737 | COVLi=0.386 | 
2024-03-26 06:27:38 | INFO     | BSRNN | Utt=45 | fname=sixteen_p232_049.wav | PESQ=3.439 | PESQi=0.730 | SISNR=18.330 | SISNRi=1.886 | CSIG=4.615 | CSIGi=0.405 |CBAK=3.806 | CBAKi=0.325 | COVL=4.035 | COVLi=0.564 | 
2024-03-26 06:27:40 | INFO     | BSRNN | Utt=46 | fname=sixteen_p232_050.wav | PESQ=1.997 | PESQi=0.340 | SISNR=15.861 | SISNRi=5.385 | CSIG=3.196 | CSIGi=0.442 |CBAK=2.762 | CBAKi=0.547 | COVL=2.567 | COVLi=0.407 | 
2024-03-26 06:27:42 | INFO     | BSRNN | Utt=47 | fname=sixteen_p232_051.wav | PESQ=1.954 | PESQi=0.544 | SISNR=12.940 | SISNRi=7.783 | CSIG=2.839 | CSIGi=0.666 |CBAK=2.363 | CBAKi=0.634 | COVL=2.345 | COVLi=0.629 | 
2024-03-26 06:27:43 | INFO     | BSRNN | Utt=48 | fname=sixteen_p232_052.wav | PESQ=1.331 | PESQi=0.177 | SISNR=8.115 | SISNRi=6.885 | CSIG=2.193 | CSIGi=0.261 |CBAK=2.035 | CBAKi=0.420 | COVL=1.711 | COVLi=0.243 | 
2024-03-26 06:27:46 | INFO     | BSRNN | Utt=49 | fname=sixteen_p232_053.wav | PESQ=2.869 | PESQi=0.459 | SISNR=19.184 | SISNRi=3.732 | CSIG=4.084 | CSIGi=0.355 |CBAK=3.239 | CBAKi=0.307 | COVL=3.436 | COVLi=0.392 | 
